title,artist,loudness,peak_loudness,avg_max_loudness,loudness_diff_averages,loudness_labels
Superconfidential,Clp,-6.486000,-2.644,-8.714,-2.228,loud
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,-4.516000,-1.289,-6.156,-1.640,loud
Spanish Grease,Willie Bobo,-9.616000,-3.629,-11.990,-2.374,medium
Crazy Mixed Up World,Faye Adams,-18.051000,-14.039,-20.656,-2.605,quiet
Do You Finally Need A Friend,Terry Callier,-11.939000,-5.505,-17.305,-5.366,medium
The Emperor Falls,John Wesley,-15.335000,-8.468,-19.014,-3.679,quiet
Twist and Shout,The Shangri-Las,-10.922000,-8.158,-12.265,-1.343,medium
It Makes No Difference Now,Billie Jo Spears,-9.983000,-5.261,-12.940,-2.957,medium
Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),-7.762000,-1.844,-10.085,-2.323,medium
¿Dónde va Chichi?,Sierra Maestra,-9.512000,-4.428,-10.935,-1.423,medium
Barking Dogs (From "Piouhgd"),Butthole Surfers,-9.063000,-4.004,-11.490,-2.427,medium
OUTE ENA EFHARISTO,Despina Vandi,-8.879000,-2.859,-13.503,-4.624,medium
Midnight Swim,Javier Navarrete,-17.699000,-7.285,-23.344,-5.645,quiet
In A Subtle Way,Jacob Young,-19.478000,-9.455,-25.178,-5.700,quiet
Spin,Scarlet's Remains,-7.469000,-4.575,-9.069,-1.600,medium
Burning In The Aftermath,The Suicide Machines,-2.022000,-0.047,-2.899,-0.877,loud
Angie (1993 Digital Remaster),The Rolling Stones,-10.358000,-5.681,-13.994,-3.636,medium
Sabor Guajiro,Roberto Torres,-12.716000,-8.443,-13.972,-1.256,medium
Human Cannonball,Loudon Wainwright III,-15.663000,-7.671,-20.165,-4.502,quiet
Glory Be,R.L. Burnside,-6.944000,-2.627,-10.510,-3.566,loud
Crossfire,Stevie Ray Vaughan,-7.805000,-3.981,-9.790,-1.985,medium
I Can't Be Satisfied,John Hammond,-10.700000,-4.420,-12.876,-2.176,medium
Nashville Parthenon,Casiotone For The Painfully Alone,-10.930000,-5.871,-13.303,-2.373,medium
Cocain Ducks,Ec8or,-9.493000,-1.580,-13.266,-3.773,medium
Human Being,The New York Dolls,-9.253000,-5.978,-10.952,-1.699,medium
The More I See You,Eliane Elias,-12.009000,-6.318,-15.190,-3.181,medium
Certain Things We Do,Lost Boyz,-11.043000,-6.195,-15.306,-4.263,medium
Forming,The Germs,-11.506000,-6.231,-13.159,-1.653,medium
Mafuá,Yamandu Costa,-14.179000,-3.258,-19.225,-5.046,medium
Driving Home For Christmas,Chris Rea,-8.531000,-4.016,-10.831,-2.300,medium
Spooks In Space,Perrey And Kingsley,-8.541000,-3.565,-12.271,-3.730,medium
Tous Les Garçons Et Les Filles,Eurythmics,-6.629000,-2.015,-9.350,-2.721,loud
Too Much Saturn,Francis Dunnery,-13.330000,-5.540,-16.981,-3.651,medium
Movement 4 [from Kiss] (Album Version),John Cale,-12.412000,-8.170,-14.716,-2.304,medium
Stream,Suzanne Ciani,-21.552000,-14.940,-24.505,-2.953,quiet
Make Me Over,Vickie Winans,-8.686000,-3.607,-11.382,-2.696,medium
Deform (live),The Berzerker,-6.222000,-3.730,-7.235,-1.013,loud
Wicker Chair,Kings Of Leon,-5.907000,-1.357,-9.544,-3.637,loud
An ti chans',Edith Lefel,-4.638000,-1.342,-6.043,-1.405,loud
I Will Love Again (JJ's Club Radio),Taras,-5.884000,-3.069,-6.960,-1.076,loud
Stickin In My Eye,NOFX,-7.787000,-3.785,-10.960,-3.173,medium
Ota kiinni,Murskahumppa,-8.488000,-5.188,-10.193,-1.705,medium
Entre Caníbales,Soda Stereo,-9.603000,-4.660,-14.223,-4.620,medium
Rosemary Recalls,Bruce Rowland,-26.266000,-16.762,-31.895,-5.629,quiet
Sudanese Dance,Xcultures,-6.305000,-2.016,-9.764,-3.459,loud
Where The Thunder Roars (Tales Of Wonder Album Version),White Heart,-9.998000,-5.494,-13.904,-3.906,medium
Wanna Be A Player,Heavy D / McGruff,-9.161000,-2.828,-11.289,-2.128,medium
Panama (Remastered Album Version),Van Halen,-4.865000,-1.287,-6.619,-1.754,loud
Let's Get It Started,Black Eyed Peas,-4.882000,-0.695,-9.316,-4.434,loud
Metal,Nine Inch Nails,-12.951000,-6.489,-15.808,-2.857,medium
She Fell Away (2009 Digital Remaster),Nick Cave & The Bad Seeds,-11.751000,-4.644,-16.593,-4.842,medium
Next Time,Nadine Renee,-6.693000,-1.475,-11.045,-4.352,loud
It's My Party,Lesley Gore,-9.091000,-4.749,-10.743,-1.652,medium
Complicate It,Smartbomb,-2.658000,-0.166,-4.149,-1.491,loud
Monde De Fou,Suburbs,-4.420000,-1.534,-5.367,-0.947,loud
Opus a Satana (Part 2),Emperor,-11.051000,-8.417,-12.525,-1.474,medium
This Melody (Live),Julien Clerc,-9.970000,-4.539,-13.238,-3.268,medium
I'm Gone This Time,Glen Campbell,-11.335000,-5.507,-13.804,-2.469,medium
You Feel Good All Over,T.G. Sheppard,-15.581000,-8.636,-18.712,-3.131,quiet
Indian Love Call,Slim Whitman,-11.980000,-5.145,-15.563,-3.583,medium
You Can Still Be Free,Savage Garden,-11.215000,-3.983,-13.585,-2.370,medium
I Never Came,Queens Of The Stone Age,-8.165000,-3.855,-10.954,-2.789,medium
Dixie,Hank Penny & The Lincoln Penny Orchestra,-12.690000,-7.462,-18.000,-5.310,medium
Commercial Reign,Inspiral Carpets,-8.700000,-6.132,-10.339,-1.639,medium
Hourglass,Borialis,-5.758000,-2.313,-6.944,-1.186,loud
Wake,The Dirty Skirts,-4.907000,-2.092,-6.264,-1.357,loud
Caricia Y Herida,Flor Silvestre,-8.133000,-2.202,-9.841,-1.708,medium
Le tortillard,Bézu,-9.093000,-5.249,-10.561,-1.468,medium
WKYA (drop),Redman,-10.296000,-4.367,-12.598,-2.302,medium
Teräslintu,Solistiyhtye Suomi,-12.839000,-7.758,-14.500,-1.661,medium
Now's The Time To Fall In Love,Eddie Cantor,-13.710000,-7.264,-17.402,-3.692,medium
Grim Prospects (Gross Prospects - Bad Trip Remix),Schizoid,-2.119000,2.920,-3.806,-1.687,loud
Mangos,Kai Winding,-14.438000,-7.744,-17.182,-2.744,medium
A Distant Voice,Sonny Simmons,-13.002000,-4.782,-18.785,-5.783,medium
Openbare Weg,Mira,-12.004000,-4.196,-18.703,-6.699,medium
President Johnson,Citizen Kaned,-8.370000,-2.556,-11.818,-3.448,medium
Lead Me Lord,The Brooklyn Tabernacle Choir,-11.829000,-5.820,-17.424,-5.595,medium
Spontanous Combustion,Ellen McIlwaine,-6.290000,-2.150,-8.831,-2.541,loud
Choro,Vince Guaraldi / Bola Sete,-15.761000,-7.114,-18.694,-2.933,quiet
Ma Louise,Maurice Chevalier,-27.433000,-21.408,-30.493,-3.060,quiet
I Want You (Forever),Carl Cox Vs Yousef,-5.701000,-1.923,-8.350,-2.649,loud
Hate,Organized Konfusion,-8.709000,-3.110,-14.142,-5.433,medium
I Can't Stop Loving You,Martina McBride,-13.627000,-7.235,-17.385,-3.758,medium
Thank You Lord,Horace Andy,-11.479000,-7.222,-13.217,-1.738,medium
How Can You Call That Beautiful (Stewkey Vocal),Nazz,-6.302000,-2.517,-8.206,-1.904,loud
Cheatin' In The Next Room,Tyrone Davis,-10.466000,-4.752,-14.362,-3.896,medium
Candy Man,Hot Tuna,-9.275000,-4.860,-11.580,-2.305,medium
I See The Boys Of Summer,Richard Burton,-37.398000,-27.372,-41.367,-3.969,quiet
Three Is a Crowd,Rory Block,-13.836000,-7.634,-17.359,-3.523,medium
On Bended Knee,Boyz II Men,-7.103000,-1.712,-12.283,-5.180,medium
My Four Reasons,Howard Armstrong,-13.495000,-5.076,-17.845,-4.350,medium
Little Girl (LP Version),Donny Hathaway,-15.144000,-6.399,-19.761,-4.617,quiet
Eternamente Amame,Miguel Gallardo,-12.991000,-8.480,-16.006,-3.015,medium
Niev nietch nievitch,Les Ogres De Barback,-6.010000,-1.506,-7.508,-1.498,loud
Come Over,DJ X-Change featuring DJ Joey A,-5.580000,-1.404,-8.991,-3.411,loud
Blue Taxi,Morel,-4.313000,-0.914,-6.224,-1.911,loud
I Want Love (Tween You & Me) (Album Version),Tony Joe White,-17.285000,-10.304,-21.604,-4.319,quiet
White Feather,Wolfmother,-5.931000,-2.478,-8.957,-3.026,loud
Christlike Roche,The Roches,-14.248000,-7.486,-18.629,-4.381,medium
You Rascal You,Bob Margolin,-12.651000,-5.436,-15.335,-2.684,medium
Sympathy,Thomas Battenstein,-16.056000,-7.231,-22.114,-6.058,quiet
They Say (Album),Jupiter Rising,-5.913000,-2.415,-8.010,-2.097,loud
Simon's Folly,Dharma Bums,-5.541000,-2.738,-7.331,-1.790,loud
Crawl Before You Ball (Album Version),Saafir,-6.019000,-1.982,-9.132,-3.113,loud
Medicate Myself,The Verve Pipe,-4.953000,-1.048,-8.692,-3.739,loud
Biding Her Time,Bob Neuwirth,-18.114000,-6.527,-25.752,-7.638,quiet
More And More  (LP Version),Marvin Sapp,-11.061000,-6.640,-14.523,-3.462,medium
Cowboy Ways,James Hunter,-7.040000,-1.609,-9.747,-2.707,medium
Brasas Vivas,Nelson Ned,-15.358000,-10.423,-19.253,-3.895,quiet
Kolomeyke,Mish Mash,-11.213000,-2.933,-13.040,-1.827,medium
In This Life,Cama,-5.904000,-1.748,-8.450,-2.546,loud
Groovin' In The Midnight,Maxi Priest,-8.095000,-2.558,-11.261,-3.166,medium
Waiting,Porcupine Tree,-7.982000,-2.323,-14.441,-6.459,medium
A'chek Ouyounik (2009 Digital Remaster),Ragheb Alama,-8.804000,-3.661,-10.321,-1.517,medium
Hell,Foo Fighters,-5.699000,-2.283,-7.651,-1.952,loud
Hips Don't Lie (featuring Wyclef Jean),Shakira Featuring Wyclef Jean,-5.152000,-1.180,-6.730,-1.578,loud
Juoksuhauta-twist (Elämä juoksuhaudoissa),The Avengers,-9.965000,-6.815,-11.089,-1.124,medium
I Got Over It (Album Version),Robben Ford,-11.976000,-7.653,-14.085,-2.109,medium
One Less Bell To Answer,Brazilian Tropical Orchestra,-10.229000,-4.604,-13.067,-2.838,medium
Festa,Gil Semedo,-6.284000,-1.727,-8.228,-1.944,loud
Te Hacen Falta Vitaminas,Soda Stereo,-3.818000,-1.095,-6.038,-2.220,loud
Sense And Trick,Xmilk,-4.633000,-2.271,-5.617,-0.984,loud
Fire (Oscar G Space Vocal Mix),Dolce; Oscar G.,-5.602000,-1.300,-7.565,-1.963,loud
Hanging On (Medium Key Performance Track Without Background Vocals),Britt Nicole,-5.157000,-0.457,-11.673,-6.516,loud
Grim Prospects (Version 2 Remix),Schizoid,-1.925000,0.730,-4.242,-2.317,loud
Christmas In Jamaica,Toni Braxton Featuring Shaggy,-5.210000,-0.492,-10.314,-5.104,loud
Gossippo Perpetuo,Perrey And Kingsley,-12.717000,-6.485,-14.741,-2.024,medium
2190 Dias Contigo,Sven Tasnadi,-12.280000,-4.561,-17.950,-5.670,medium
No Control,Eddie,-9.748000,-5.254,-12.279,-2.531,medium
The Vitalized Shell,Enthroned,-4.878000,-2.788,-5.888,-1.010,loud
Mozart,Suzanne Ciani,-23.988000,-15.595,-27.973,-3.985,quiet
Ciao Milan,Milan Band,-9.414000,-4.736,-11.144,-1.730,medium
Lend Me Your Chopper,Johnny Osbourne,-9.741000,-4.171,-12.524,-2.783,medium
Letter To Heaven,Dolly Parton,-11.965000,-7.896,-14.686,-2.721,medium
Heaven is Where The Heart Is,Rance Allen Group,-12.779000,-7.322,-17.369,-4.590,medium
Inside Job,Pearl Jam,-8.403000,-1.907,-15.553,-7.150,medium
Take A Look  (LP Version),Natalie Cole,-13.251000,-4.534,-18.695,-5.444,medium
The Czar: Usurper/Escape/Martyr/Spiral (Album Version),Mastodon,-5.884000,-2.330,-8.873,-2.989,loud
Bulgarian Dream,Kiril Valeri,-6.929000,-2.424,-10.643,-3.714,loud
Amalgama,Word,-4.198000,0.931,-7.353,-3.155,loud
Born and Raised In Compton,DJ Quik,-6.998000,-0.789,-9.014,-2.016,loud
We're Gonna Go Fishin',Hank Locklin,-12.772000,-9.021,-14.871,-2.099,medium
Robbers Kill Cop,BT,-18.147000,-13.803,-22.764,-4.617,quiet
Relax,2-4 Grooves feat. Reki D.,-7.661000,-3.258,-9.994,-2.333,medium
Sweet By And By,The Jordanaires,-17.308000,-9.945,-20.802,-3.494,quiet
Orgofart,Descendents,-28.347000,-19.589,-34.597,-6.250,quiet
Bitch Is Back,L.A. Guns,-2.869000,-0.460,-4.279,-1.410,loud
Naked Albino,Bare Jr.,-7.309000,-3.021,-10.778,-3.469,medium
Johnny Loves Me (LP Version),Shelley Fabares,-15.351000,-8.720,-18.714,-3.363,quiet
Dearly Beloved,Norrie Paramor,-25.694000,-20.444,-29.730,-4.036,quiet
The Look Of Love,Gary Hobbs,-9.435000,-3.215,-12.130,-2.695,medium
Cooler Than You,Diesel Boy,-4.793000,-1.850,-6.122,-1.329,loud
Taryns Deepest Fear,Angelo Badalamenti,-17.623000,-6.546,-22.696,-5.073,quiet
Summer Dying Fast,Cradle Of Filth,-6.200000,-2.974,-7.720,-1.520,loud
Still,Jim Chappell,-19.821000,-12.204,-25.101,-5.280,quiet
Snapshot,Ladybug,-9.632000,-4.459,-13.192,-3.560,medium
End Of The Road (Head Hornys Remix),Bandido,-5.671000,-1.682,-8.008,-2.337,loud
7 Miles,Brixx,-11.708000,-5.995,-14.014,-2.306,medium
The Frail,Nine Inch Nails,-16.968000,-11.952,-20.139,-3.171,quiet
Para Milladoiro,Susana Seivane,-13.038000,-9.174,-15.240,-2.202,medium
Stone Cold Fingers (Bonus Track),Leland Martin,-10.647000,-6.049,-12.688,-2.041,medium
Snowball,Test Icicles,-4.172000,-0.996,-5.785,-1.613,loud
(We Don't Need This) Fascist Groove Thang,Heaven 17,-10.756000,-6.921,-12.690,-1.934,medium
Drunk Alone,React,-3.422000,-1.326,-4.849,-1.427,loud
Charisma,Sven Tasnadi,-12.260000,-5.962,-14.775,-2.515,medium
Going Down Slow,Mance Lipscomb,-23.527000,-15.201,-27.716,-4.189,quiet
All Rise,Scott Wesley Brown,-9.435000,-3.908,-14.879,-5.444,medium
Jogo Limpo,Flávio José,-8.639000,-4.794,-10.183,-1.544,medium
Silent Hill,Moss,-7.672000,-3.538,-10.720,-3.048,medium
Our Love Is Here To Stay,Pery Ribeiro,-13.668000,-8.493,-16.058,-2.390,medium
Everything Changes,Soular,-6.885000,-2.148,-9.805,-2.920,loud
Master Of Disharmony,Dimmu Borgir,-4.200000,-0.726,-5.635,-1.435,loud
(This Is Not A) Love Song (Live),Public Image Ltd,-16.433000,-9.825,-19.290,-2.857,quiet
What Are We Here For,Gary Moore,-6.951000,-2.239,-9.599,-2.648,loud
Une petite pause,Pascal Sangla,-14.737000,-8.679,-18.206,-3.469,medium
Wig,The B-52's,-9.628000,-6.290,-11.306,-1.678,medium
Perasmena Mesanihta,Dakis,-8.460000,-3.660,-11.837,-3.377,medium
God Save the Queen (Live),Sex Pistols,-3.736000,-1.616,-4.619,-0.883,loud
Forever,Chris Brown,-4.376000,0.825,-6.833,-2.457,loud
Sun Is Shining,Deekline & Wizard,-6.947000,-3.025,-10.411,-3.464,loud
New Age,Daniela Dessì,-12.279000,-7.356,-15.435,-3.156,medium
Have Yourself A Merry Little Christmas,Hem,-15.736000,-9.104,-20.836,-5.100,quiet
U Killed It,Lily Allen,-5.871000,-1.454,-10.774,-4.903,loud
Rain And Snow,Pentangle,-12.053000,-5.042,-15.100,-3.047,medium
Gerra De De,DJ Dips,-6.248000,-2.668,-7.616,-1.368,loud
Kako mi je pitas sad,Ana Bekuta,-13.703000,-8.990,-14.870,-1.167,medium
Voices On The Corner,Jason Miles,-9.716000,-3.124,-13.518,-3.802,medium
(Bloody Paw On The) Kill Floor,Busdriver,-6.258000,-2.994,-7.605,-1.347,loud
I Wish My Mother Was Here,Byther Smith,-11.702000,-6.670,-13.816,-2.114,medium
Inolvidable,Bebo & Cigala,-14.509000,-6.273,-21.116,-6.607,medium
Miracle,Bizarre Inc,-9.062000,-4.587,-11.991,-2.929,medium
Witch Weed (Live),Bongzilla,-6.788000,-4.691,-7.693,-0.905,loud
Not Buried Deep Enough,The Gone Jackals,-12.772000,-9.152,-14.529,-1.757,medium
Give Me 40 Acres (To Turn This Rig Around),The Willis Brothers,-9.258000,-4.483,-11.202,-1.944,medium
Ernesto Nazareth,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,-24.597000,-15.828,-28.156,-3.559,quiet
The Cube (Live),S.U.P,-8.161000,-4.659,-9.501,-1.340,medium
Get Back Down,Boogie Pimps,-6.751000,-2.370,-8.773,-2.022,loud
Battle Of The Rosebud / Cries,Brian Keane,-29.295000,-26.125,-32.544,-3.249,quiet
Beyond the Light,Aberdeen,-12.658000,-7.423,-14.747,-2.089,medium
Spaceman,The Killers,-6.546000,-1.661,-9.847,-3.301,loud
Pulecenella 'e mò,Gloriana,-17.522000,-12.160,-20.846,-3.324,quiet
Iskorosten' (instr.),Butterfly Temple,-10.777000,-8.377,-12.876,-2.099,medium
Big Stax/High Volts (Album Version),Grant Geissman,-9.993000,-3.567,-12.476,-2.483,medium
It Goes On,20/20,-12.990000,-7.775,-16.732,-3.742,medium
Pecado De Amor,José Augusto,-8.339000,-3.492,-11.992,-3.653,medium
Illuminate,Orbital,-6.531000,-2.666,-9.316,-2.785,loud
Never Forget Me,Bone Thugs-N-Harmony / Akon,-6.933000,-2.271,-10.201,-3.268,loud
Ukkosenjumalan poika,Moonsorrow,-4.178000,-1.480,-5.450,-1.272,loud
A B***** Is A B***** (Edited),N.W.A.,-8.910000,-3.241,-11.123,-2.213,medium
Kick Out The Jams,Rage Against The Machine,-2.069000,0.379,-3.637,-1.568,loud
Me And My Buddy,Jazz Gillum,-16.844000,-7.543,-21.625,-4.781,quiet
Amber Changing,Rise Against,-3.803000,-0.973,-5.275,-1.472,loud
Murder Academy,Ultraviolence,-10.570000,-5.725,-12.993,-2.423,medium
Hey Daddy,Korn,-6.694000,-3.516,-9.276,-2.582,loud
4 Sea Interludes Op. 33a: Storm,Sir Neville Marriner,-16.753000,-8.248,-23.068,-6.315,quiet
I Need You Now,Agnes,-4.376000,-0.422,-6.357,-1.981,loud
Atmosphere Station,James Horner,-38.525000,-12.185,-42.177,-3.652,quiet
Walk Away,Tantric,-1.843000,0.880,-4.062,-2.219,loud
Shadows That Move,Mastodon,-3.937000,-0.688,-5.792,-1.855,loud
Smile,Xcultures,-16.006000,-11.656,-20.191,-4.185,quiet
Mountains Of Mourne,The Irish Tenors,-19.794000,-11.545,-25.322,-5.528,quiet
Kite Live from Sydney,U2,-7.614000,-1.904,-11.552,-3.938,medium
Loco (Crazy),Little Joe,-10.274000,-3.406,-14.032,-3.758,medium
Ever Be,Korn,-5.912000,-2.673,-8.764,-2.852,loud
Oh Look Misery,Blind Blake & The Royal Victoria Hotel Calypsos,-7.108000,-1.883,-9.453,-2.345,medium
Yesterdays,Percy Faith,-15.578000,-12.584,-17.796,-2.218,quiet
Teacher's Pet,Extreme,-9.334000,-6.681,-10.701,-1.367,medium
Palmer enquête,Alexandre Desplat,-16.942000,-11.727,-19.944,-3.002,quiet
Go To Hell,Prozak,-6.021000,0.571,-12.407,-6.386,loud
Moon River - Original,Jerry Butler,-13.135000,-7.973,-15.727,-2.592,medium
La Plus Bath Des Javas,Yvette Horner,-6.893000,-0.917,-9.233,-2.340,loud
Infidel,Delta 9,-9.506000,-4.632,-15.623,-6.117,medium
English Summer Rain,Placebo,-7.255000,-2.823,-10.981,-3.726,medium
Spanish Shuffle (Album Version),Tam Tam Go!,-7.684000,-1.535,-12.197,-4.513,medium
Intro,Gertrudis,-12.385000,-6.618,-15.274,-2.889,medium
Empress So Divine,Warrior King,-4.779000,-1.318,-7.318,-2.539,loud
Terapia De Amor Intensiva,Soda Stereo,-11.356000,-7.038,-14.298,-2.942,medium
Haunting,LORE,-8.147000,-3.829,-11.419,-3.272,medium
Lies Of Hate,Soul Asylum,-6.582000,-2.964,-9.289,-2.707,loud
The First Noel,Carl Doy with NZSO,-16.527000,-11.271,-20.891,-4.364,quiet
Musical Episode,Horace Andy,-10.173000,-4.030,-13.370,-3.197,medium
Beautiful Brown eyes,Jimmy Wakely,-14.123000,-10.435,-15.826,-1.703,medium
Drop the Bass,The Nightraver & The Magican,-5.483000,-1.642,-7.695,-2.212,loud
The Last Word (Amended Version),Rah Digga (Featuring Outsidaz),-7.307000,-1.697,-11.546,-4.239,medium
Hard Times,RUN-DMC,-12.750000,-5.079,-16.955,-4.205,medium
Just As Much As Ever,Bert Kaempfert And His Orchestra,-10.328000,-5.552,-13.425,-3.097,medium
Filipino Baby,Hank Locklin,-9.668000,-4.286,-11.992,-2.324,medium
The Boss,Lady May,-5.444000,-1.182,-7.867,-2.423,loud
Escapist,Nightwish,-4.144000,-0.021,-7.119,-2.975,loud
Jeffrey's Dark Side,Angelo Badalamenti,-18.349000,-9.733,-29.191,-10.842,quiet
Someone to Watch Over Me,Frank Chacksfield,-20.964000,-14.094,-24.644,-3.680,quiet
Milagre Dos Peixes/ Musica Incidental: Cais/ Music Incidental: San Vicente,Cesar Camargo Mariano/Helio Delmiro,-11.877000,-3.236,-17.090,-5.213,medium
Pinned To The Ground (album version),Buzzhorn,-5.627000,-1.628,-9.502,-3.875,loud
Always And Never (Album Version),Silverstein,-1.998000,0.210,-3.022,-1.024,loud
Myth Takes,!!!,-7.901000,-3.602,-10.225,-2.324,medium
Carpe PM,The Secret Life of Teenage Girls,-8.798000,-5.658,-10.727,-1.929,medium
Who Shot Ya (Amended Album Version),The Notorious B.I.G.,-5.934000,-1.138,-8.645,-2.711,loud
Poor Tom (Album Version),Led Zeppelin,-10.700000,-6.231,-12.211,-1.511,medium
Wounded Hearts,Sandi Thom,-4.332000,-1.331,-5.738,-1.406,loud
Love's Been Good To Me,Carl Belew,-15.672000,-11.417,-18.529,-2.857,quiet
When Morning Comes To Town,The Field Mice,-15.540000,-10.776,-19.181,-3.641,quiet
Estate,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,-14.621000,-3.851,-21.046,-6.425,medium
Freedom Enough (From Silent Mother Nature),Catherine Howe,-11.428000,-7.299,-13.024,-1.596,medium
Hai Shava,Malkit Singh,-11.273000,-7.267,-12.679,-1.406,medium
Nutty Block,Rodney O & Joe Cooley,-9.745000,-4.438,-12.024,-2.279,medium
Until You Love Someone,Dean Martin,-10.917000,-6.204,-13.782,-2.865,medium
Part One From Triomusic,Strata,-21.787000,-8.504,-28.203,-6.416,quiet
Hello Young Lovers (LP Version),James Darren,-14.449000,-8.180,-17.553,-3.104,medium
Same Man,Till West & DJ Delicious,-7.535000,-4.407,-9.965,-2.430,medium
Quiero Ir Ao Mar,Carlos Nuñez,-10.918000,-5.460,-13.459,-2.541,medium
The Owl and the Pussy-cat,Igor Stravinsky,-21.250000,-12.912,-24.311,-3.061,quiet
Set You Free This Time,Gene Clark,-12.770000,-9.437,-14.929,-2.159,medium
Bloco Da Solidao (1996 Digital Remaster),Maysa,-15.574000,-6.052,-20.423,-4.849,quiet
Will You Love Me Tomorrow,The Shirelles,-9.790000,-4.528,-12.631,-2.841,medium
Stille nacht_ heilige nacht,The American Boychoir,-32.017000,-21.862,-37.673,-5.656,quiet
Nine Ways,JDS,-5.533000,1.125,-8.735,-3.202,loud
Northern Downpour (Album Version),Panic At The Disco,-8.901000,-3.906,-12.383,-3.482,medium
Bad Seed,Jan Howard,-15.915000,-10.683,-18.222,-2.307,quiet
Exchange,Abraham Laboriel,-8.489000,-4.000,-10.630,-2.141,medium
Marie D'Aquitaine,Michèle Arnaud,-13.366000,-6.947,-17.051,-3.685,medium
Oh My God,Sticky Fingaz,-5.947000,-1.988,-9.377,-3.430,loud
Joy To The World,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,-13.826000,-5.947,-18.647,-4.821,medium
Hoochie Coochie Man,The Jeff Healey Band,-11.488000,-7.838,-13.287,-1.799,medium
Ftei O Erotas,Angela Dimitriou,-9.280000,-4.513,-12.604,-3.324,medium
The Second Summer Of Love,Danny Wilson,-7.928000,-3.611,-10.678,-2.750,medium
Prelude And Fugue In C Major BWV 531 : Fugue,Lionel Rogg,-14.367000,-7.466,-16.251,-1.884,medium
Don't Phunk With My Heart,Java,-7.598000,-4.038,-9.038,-1.440,medium
Give It What U Got,SWAMI featuring Asuivre,-2.939000,0.400,-5.495,-2.556,loud
Dancing To A Standstill,The Black Velvet Band,-8.632000,-3.719,-10.859,-2.227,medium
Isla del Luna,Lisa Lynne,-14.544000,-4.998,-18.115,-3.571,medium
Spirit,Pe'z,-7.605000,-1.379,-11.292,-3.687,medium
Another Long One,Shawn Colvin,-13.256000,-7.538,-16.634,-3.378,medium
Leng Jing,Stephy Tang,-7.225000,-2.992,-10.649,-3.424,medium
OAKtown,Casual,-8.422000,-1.990,-12.788,-4.366,medium
Larger Than Life,Backstreet Boys,-5.120000,-1.813,-7.378,-2.258,loud
I Hold Your Hand In Mine [Live At Royal Albert Hall],Tiny Tim,-23.996000,-14.797,-29.233,-5.237,quiet
Baby Come To Me,Kenny G featuring Daryl Hall,-8.041000,-3.360,-10.944,-2.903,medium
Den Pai Alo,Christos Dantis,-10.957000,-7.288,-13.339,-2.382,medium
It Wont Be Christmas,David Martin,-14.835000,-9.973,-18.124,-3.289,medium
